timestep,avg_resource,min_resource,max_resource
1,58.325,19,100
2,56.861,18,100
3,55.403,17,100
4,53.998,16,100
5,52.633,15,100
6,51.227,14,98
7,49.911,13,98
8,48.586,12,100
9,47.295,11,98
10,46.002,10,96
11,44.744,9,97
12,43.480,8,95
13,42.270,7,93
14,41.077,6,91
15,39.936,5,89
16,38.796,4,87
17,37.680,3,85
18,36.563,2,88
19,35.470,1,86
20,34.413,0,84
21,33.418,0,88
22,32.422,0,86
23,31.472,0,84
24,30.554,0,83
25,29.642,0,81
26,28.825,0,79
27,27.963,0,77
28,27.121,0,75
29,26.268,0,73
30,25.440,0,71
31,24.651,0,69
32,23.845,0,67
33,23.081,0,72
34,22.334,0,70
35,21.630,0,68
36,20.900,0,66
37,20.226,0,64
38,19.514,0,62
39,18.818,0,60
40,18.099,0,58
41,17.428,0,62
42,16.758,0,71
43,16.094,0,69
44,15.476,0,67
45,14.851,0,65
46,14.210,0,63
47,13.586,0,61
48,12.945,0,59
49,12.327,0,57
50,11.702,0,56
1,58.325,19,100
2,56.574,18,100
3,54.834,17,100
4,53.143,16,98
5,51.492,15,96
6,49.801,14,98
7,48.202,13,96
8,46.601,12,94
9,45.041,11,92
10,43.491,10,92
11,42.000,9,97
12,40.524,8,95
13,39.130,7,93
14,37.784,6,91
15,36.514,5,89
16,35.257,4,87
17,34.026,3,85
18,32.786,2,83
19,31.562,1,81
20,30.357,0,84
21,29.200,0,82
22,28.029,0,80
23,26.888,0,78
24,25.766,0,76
25,24.627,0,74
26,23.565,0,72
27,22.456,0,70
28,21.364,0,68
29,20.257,0,66
30,19.167,0,64
31,18.110,0,62
32,17.031,0,60
33,15.994,0,56
34,14.972,0,56
35,13.991,0,54
36,12.984,0,61
37,12.028,0,59
38,11.034,0,57
39,10.055,0,55
40,9.057,0,53
41,8.113,0,51
42,7.179,0,64
43,6.270,0,62
44,5.431,0,60
45,4.630,0,52
46,3.869,0,48
47,3.184,0,47
48,2.567,0,46
49,2.059,0,45
50,1.629,0,44
51,1.281,0,43
52,1.060,0,42
53,0.889,0,41
54,0.754,0,40
55,0.725,0,39
56,0.629,0,32
57,0.636,0,30
58,0.641,0,35
59,0.624,0,35
60,0.624,0,34
61,0.624,0,33
62,0.542,0,32
63,0.572,0,31
64,0.592,0,30
65,0.570,0,29
66,0.542,0,28
67,0.539,0,26
68,0.516,0,29
69,0.584,0,28
70,0.574,0,27
71,0.570,0,27
72,0.562,0,30
73,0.545,0,29
74,0.485,0,28
75,0.481,0,27
76,0.508,0,26
77,0.494,0,33
78,0.504,0,32
79,0.511,0,31
80,0.488,0,30
81,0.474,0,29
82,0.494,0,28
83,0.489,0,23
84,0.492,0,22
85,0.498,0,21
86,0.493,0,21
87,0.560,0,20
88,0.582,0,22
89,0.560,0,25
90,0.555,0,24
91,0.530,0,23
92,0.554,0,30
